	urls
104	https://www.cars-data.com/en/kia-ceed-2018/4216
105	https://www.cars-data.com/en/kia-ceed-sportswagon-2018/4217
106	https://www.cars-data.com/en/kia-optima-2018/4220
107	https://www.cars-data.com/en/kia-optima-sw-2018/4221
108	https://www.cars-data.com/en/kia-sportage-2018/4225
109	https://www.cars-data.com/en/lamborghini-urus-2018/4232
110	https://www.cars-data.com/en/lexus-ct-2018/4238
111	https://www.cars-data.com/en/lexus-es-2018/4239
112	https://www.cars-data.com/en/lexus-ls-2018/4241
113	https://www.cars-data.com/en/lexus-rc-2018/4243
114	https://www.cars-data.com/en/maserati-grancabrio-2018/4246
115	https://www.cars-data.com/en/maserati-granturismo-2018/4247
116	https://www.cars-data.com/en/mazda-6-2018/4251
117	https://www.cars-data.com/en/mazda-6-sportbreak-2018/4252
118	https://www.cars-data.com/en/mazda-cx-3-2018/4253
119	https://www.cars-data.com/en/mclaren-600lt-2018/4368
120	https://www.cars-data.com/en/mercedes-benz-a-class-2018/4254
121	https://www.cars-data.com/en/mercedes-benz-a-class-limousine-2018/4255
122	https://www.cars-data.com/en/mercedes-benz-amg-gt-4-door-coupe-2018/4256
123	https://www.cars-data.com/en/mercedes-benz-b-class-2018/4257
124	https://www.cars-data.com/en/mercedes-benz-c-class-2018/4258
125	https://www.cars-data.com/en/mercedes-benz-c-class-cabriolet-2018/4261
126	https://www.cars-data.com/en/mercedes-benz-c-class-coupe-2018/4260
127	https://www.cars-data.com/en/mercedes-benz-c-class-estate-2018/4259
128	https://www.cars-data.com/en/mercedes-benz-cls-2018/4263
129	https://www.cars-data.com/en/mercedes-benz-g-class-2018/4266
130	https://www.cars-data.com/en/mercedes-benz-gle-2018/4269
131	https://www.cars-data.com/en/mercedes-benz-s-class-cabriolet-2018/4273
132	https://www.cars-data.com/en/mercedes-benz-s-class-coupe-2018/4272
133	https://www.cars-data.com/en/mercedes-benz-x-class-2018/4276
134	https://www.cars-data.com/en/mini-cabrio-2018/4277
135	https://www.cars-data.com/en/mini-mini-2018/4279
136	https://www.cars-data.com/en/mini-mini-2018/4280
137	https://www.cars-data.com/en/mitsubishi-asx-2018/4281
138	https://www.cars-data.com/en/nissan-nv300-2018/4284
139	https://www.cars-data.com/en/opel-combo-2018/4289
140	https://www.cars-data.com/en/opel-combo-tour-2018/4288
141	https://www.cars-data.com/en/peugeot-508-2018/4299
142	https://www.cars-data.com/en/peugeot-rifter-2018/4301
143	https://www.cars-data.com/en/porsche-macan-2018/4306
144	https://www.cars-data.com/en/renault-kadjar-2018/4310
145	https://www.cars-data.com/en/seat-cupra-ateca-2018/4315
146	https://www.cars-data.com/en/skoda-fabia-2018/4319
147	https://www.cars-data.com/en/skoda-fabia-combi-2018/4320
148	https://www.cars-data.com/en/skoda-karoq-2018/4321
149	https://www.cars-data.com/en/suzuki-jimny-2018/4329
150	https://www.cars-data.com/en/suzuki-vitara-2018/4330
151	https://www.cars-data.com/en/toyota-aygo-2018/4332
152	https://www.cars-data.com/en/toyota-aygo-2018/4333
